Timestamp,"['utm_x', 'utm_y', 'cur_speed', 'target_predicted_speed']"
21.205235958099365,"[330295.31574515515, 4166741.43666266, 1.8542842284827856, 2.3373668919451323]"
21.304140090942383,"[330295.49178381474, 4166741.4108516886, 1.7952963543660418, 2.35581715499753]"
21.40379810333252,"[330295.65854277427, 4166741.3630294222, 1.746055268311974, 2.3821820922413615]"
21.506056785583496,"[330295.8255292417, 4166741.326303276, 1.6901269183111665, 2.4350964592049413]"
21.603834629058838,"[330295.9655866449, 4166741.2679277062, 1.6145339884932741, 2.471139579344108]"
21.706915855407715,"[330296.1232934154, 4166741.209190266, 1.627628028758414, 2.514608833939653]"
21.80578088760376,"[330296.25429863064, 4166741.1398995183, 1.5381891951252291, 2.589899142822752]"
21.918070316314697,"[330296.3941285298, 4166741.070427837, 1.565790535161073, 2.6370185570338647]"
22.005821228027344,"[330296.5253612546, 4166741.0122332117, 1.462855426896315, 2.685824493376145]"
22.115288972854614,"[330296.6475417898, 4166740.943123406, 1.4674126890551276, 2.7104555599651285]"
22.203277587890625,"[330296.769494822, 4166740.8629174847, 1.4261377913792201, 2.757963887187837]"
22.304156064987183,"[330296.891447852, 4166740.782711564, 1.4431635388964066, 2.7944522378513605]"
22.40739154815674,"[330297.00412119087, 4166740.680494345, 1.4285982640336645, 2.8221217431749235]"
22.500657320022583,"[330297.1172495436, 4166740.600469362, 1.4492001242064534, 2.856011619039005]"
22.61198663711548,"[330297.2484822806, 4166740.5422747494, 1.4452709088610343, 2.8835282354537934]"
22.70833468437195,"[330297.3609281185, 4166740.4289614167, 1.5180806961423363, 2.9126854354110323]"
22.805405378341675,"[330297.482881165, 4166740.348755506, 1.4914841601572575, 2.8347629716601888]"
22.91835904121399,"[330297.6043791997, 4166740.24635736, 1.5550745962814776, 2.822774113951929]"
23.00817060470581,"[330297.7261047431, 4166740.1550553353, 1.5784612760533594, 2.799269679729929]"
23.117527961730957,"[330297.84760278347, 4166740.0526571926, 1.590835315172504, 2.762407022268895]"
23.205899477005005,"[330297.9779255121, 4166739.950078119, 1.6329534592265635, 2.7154195692619267]"
23.309387683868408,"[330298.1080207408, 4166739.836402929, 1.6771514541030574, 2.744265311388631]"
23.39890432357788,"[330298.238343476, 4166739.7338238596, 1.625930502819847, 2.6910850964277566]"
23.508346796035767,"[330298.3688937193, 4166739.642340909, 1.715, 2.621976586784981]"
23.610229969024658,"[330298.4989889561, 4166739.5286657275, 1.681561476723346, 2.5808238589530554]"
23.70167303085327,"[330298.629311703, 4166739.4260866633, 1.6376193086306718, 2.52274147305775]"
23.803720235824585,"[330298.7508097653, 4166739.3236885346, 1.6116240256337706, 2.4704673257519754]"
23.912883281707764,"[330298.8811325164, 4166739.2211094773, 1.6378904114744675, 2.423420593176778]"
24.010417938232422,"[330299.00308559276, 4166739.1409035893, 1.5588345005163313, 2.3810785338591005]"
24.1037495136261,"[330299.14246054203, 4166739.04923972, 1.5379288019931223, 2.342970680473191]"
24.202643156051636,"[330299.2641861198, 4166738.9579377184, 1.585610607936261, 2.308673612425872]"
24.293434381484985,"[330299.3859117001, 4166738.866635718, 1.4661463092065539, 2.277806251183285]"
24.39968204498291,"[330299.5083197931, 4166738.808622076, 1.509679767367901, 2.2500256260649567]"
24.505023956298828,"[330299.6302728814, 4166738.728416197, 1.405318469244605, 2.2250230634584613]"
24.611176013946533,"[330299.76105065853, 4166738.648029392, 1.4416580731921145, 2.2025207571126155]"
24.706597566604614,"[330299.87417906726, 4166738.5680044484, 1.4267434948160795, 2.182268681401354]"
24.807436227798462,"[330300.005639357, 4166738.5209059995, 1.4002603329381291, 2.164041813261219]"
24.915487051010132,"[330300.11922277254, 4166738.463073297, 1.3247675267759247, 2.147637631935097]"
25.001715183258057,"[330300.24140337395, 4166738.3939635465, 1.3574170324553911, 2.1328738687415876]"
25.118123292922974,"[330300.3733186748, 4166738.36905734, 1.280378459675107, 2.119586481867429]"
25.19681429862976,"[330300.4783049099, 4166738.322501692, 1.2613013121375876, 2.107627833680686]"
25.3043315410614,"[330300.60094051756, 4166738.2755841855, 1.27317752100797, 2.096865050312618]"
25.40870952606201,"[330300.7242586359, 4166738.2619550326, 1.1471726112490659, 2.0871785452813563]"
25.507821083068848,"[330300.82924487407, 4166738.21539939, 1.20080181545499, 2.0784606907532206]"
25.613327264785767,"[330300.9435108031, 4166738.1908550533, 1.1407480002174013, 2.0706146216778984]"
25.709326028823853,"[330301.05800423387, 4166738.1774068377, 1.1164345032289176, 2.063553159510109]"
25.801222562789917,"[330301.163672978, 4166738.164139554, 1.0683164325236227, 2.057197843559098]"
25.916604042053223,"[330301.2516923485, 4166738.1512341313, 0.9946260603865152, 2.0514780592031885]"
26.00464105606079,"[330301.348763907, 4166738.1492438978, 0.9174747952941269, 2.0463302532828695]"
26.10542941093445,"[330301.44583546545, 4166738.1472536656, 0.9558796995438287, 2.041697227954583]"
26.204019784927368,"[330301.53408233705, 4166738.1454443648, 0.8860564316114409, 2.0375275051591246]"
26.302976369857788,"[330301.6223292086, 4166738.143635065, 0.879081907446627, 2.033774754643212]"
26.397972583770752,"[330301.70175139094, 4166738.1420066957, 0.8351095736488716, 2.030397279178891]"
26.516350746154785,"[330301.7811735755, 4166738.140378327, 0.8028997446755106, 2.027357551261002]"
26.608384609222412,"[330301.8696479471, 4166738.149665148, 0.836737712786988, 2.024621796134902]"
26.698142766952515,"[330301.94047294464, 4166738.1593138287, 0.8402576985663387, 2.0221596165214115]"
26.797561645507812,"[330302.02012262656, 4166738.16878158, 0.7574298647399639, 2.0199436548692704]"
26.911686897277832,"[330302.0999998104, 4166738.189345452, 0.8337061832564276, 2.0179492893823436]"
27.00438094139099,"[330302.1884741809, 4166738.198632276, 0.7930952023559341, 2.0161543604441095]"
27.10903239250183,"[330302.26857886126, 4166738.2302922662, 0.8460378242135513, 2.0153273406590517]"
27.20627236366272,"[330302.3482285443, 4166738.2397600226, 0.7410600515477811, 2.0209173111477776]"
27.299071788787842,"[330302.42856072506, 4166738.2825161316, 0.8855105871755571, 2.018825580033]"
27.399001598358154,"[330302.5172625934, 4166738.3028990775, 0.8709190547921203, 2.0169430220297]"
27.50495934486389,"[330302.6059644611, 4166738.323282025, 0.9378112816553232, 2.0152487198267304]"
27.60732388496399,"[330302.6860691407, 4166738.354942018, 0.8688688048261372, 2.0137238478440573]"
27.70348024368286,"[330302.774998504, 4166738.3864210853, 0.9117044477241514, 2.0123514630596517]"
27.804483890533447,"[330302.87298005645, 4166738.4288153425, 0.9705405710221495, 2.0111163167536867]"
27.905067920684814,"[330302.9530847317, 4166738.4604753386, 0.8824262008802777, 2.010004685078318]"
28.01684021949768,"[330303.0510662801, 4166738.502869599, 1.0296115772464878, 2.0090042165704864]"
28.105140924453735,"[330303.13117095607, 4166738.5345295975, 0.9879276289283543, 2.008103794913438]"
28.206965446472168,"[330303.22055531444, 4166738.588200904, 0.9555574289387321, 2.0072934154220943]"
28.306875467300415,"[330303.30993966945, 4166738.641872213, 1.0595116799733735, 2.006564073879885]"
28.40081214904785,"[330303.4083762121, 4166738.706458713, 1.021765139354441, 2.0059076664918964]"
28.503745317459106,"[330303.49776056455, 4166738.760130022, 1.0893970809580866, 2.005316899842707]"
28.609171628952026,"[330303.57854772976, 4166738.8250783803, 1.0327521483879858, 2.0047852098584364]"
28.70276713371277,"[330303.65933489375, 4166738.8900267384, 1.0437878136862875, 2.004306688872593]"
28.80910086631775,"[330303.7489467424, 4166738.954794169, 1.0788832188888657, 2.003876019985334]"
28.936466455459595,"[330303.8299614013, 4166739.030838648, 1.0476187283549296, 2.0185318840662103]"
29.015876531600952,"[330303.9019238731, 4166739.0959679363, 1.0232541228844376, 2.0166786956595892]"
29.107942581176758,"[330303.99221820966, 4166739.194023723, 1.1002617870307048, 2.0150108260936306]"
29.210917234420776,"[330304.06418067886, 4166739.259153012, 1.1276745984547139, 2.0135097434842675]"
29.31381630897522,"[330304.1451953319, 4166739.3351974934, 1.0905136404465559, 2.0121587691358407]"
29.41280484199524,"[330304.2087881096, 4166739.422699947, 1.112662572391109, 2.0109428922222565]"
29.512638568878174,"[330304.2902577537, 4166739.520936665, 1.1555890272930078, 2.009848603000031]"
29.614464282989502,"[330304.3626752115, 4166739.608258194, 1.1738062020623337, 2.008863742700028]"
29.71865200996399,"[330304.4176707965, 4166739.707037693, 1.1488085131996542, 2.0079773684300255]"
29.815592050552368,"[330304.4817185621, 4166739.8167323857, 1.2078646447346657, 2.007179631587023]"
29.92261791229248,"[330304.54553882714, 4166739.915330961, 1.167207350902144, 2.006461668428321]"
30.017903804779053,"[330304.60076190485, 4166740.0252065808, 1.212694932784004, 2.005815501585489]"
30.122963905334473,"[330304.6383356094, 4166740.135444054, 1.1828989813166635, 2.00523395142694]"
30.21847653388977,"[330304.6849614965, 4166740.2565967194, 1.214127670387262, 2.004710556284246]"
30.31848430633545,"[330304.7311323872, 4166740.3555571493, 1.1042323125139926, 2.0042395006558213]"
